"filename", "language", "JSON", "HTML", "JavaScript", "MS SQL", "JavaScript JSX", "PostCSS", "Markdown", "Dotenv", "XML", "comment", "blank", "total"
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\temp_html\pdf.html", "HTML", 0, 64, 0, 0, 0, 0, 0, 0, 0, 3, 13, 80
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\temp_html\previous-tests.html", "HTML", 0, 355, 0, 0, 0, 0, 0, 0, 0, 35, 37, 427
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\temp_html\quiz-results.html", "HTML", 0, 278, 0, 0, 0, 0, 0, 0, 0, 30, 37, 345
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\temp_html\quiz-submit.html", "HTML", 0, 310, 0, 0, 0, 0, 0, 0, 0, 29, 47, 386
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\temp_html\quiz-taking-screen.html", "HTML", 0, 377, 0, 0, 0, 0, 0, 0, 0, 0, 23, 400
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\temp_html\quiz.html", "HTML", 0, 310, 0, 0, 0, 0, 0, 0, 0, 29, 47, 386
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\temp_html\results.html", "HTML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\temp_html\score-predictor.html", "HTML", 0, 134, 0, 0, 0, 0, 0, 0, 0, 23, 16, 173
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\temp_html\signup.html", "HTML", 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 17, 275
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\temp_html\smart-select-weakest.html", "HTML", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 1, 214
